title,page_link,pdf_link,issue_date,fda_organization,topic,status,docket_number,comment,closing_comment
Review of Drug Master Files in Advance of Certain ANDA Submissions Under GDUFA,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/review-drug-master-files-advance-certain-anda-submissions-under-gdufa,https://www.fda.gov/media/162019/download,2024-10-17,['Center for Drug Evaluation and Research'],"['User Fees','Chemistry, Manufacturing, and Controls (CMC)','Generic Drugs','Pharmaceutical Quality','Drug Competition Action Plan']",Final,FDA-2022-D-2061,No,
Postoperative Nausea and Vomiting: Developing Drugs for Prevention,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/postoperative-nausea-and-vomiting-developing-drugs-prevention,https://www.fda.gov/media/182757/download,2024-10-17,['Center for Drug Evaluation and Research'],['Clinical - Medical'],Draft,FDA-2024-D-3993,Yes,2024-12-17
"Recommendations for the Development of Blood Collection, Processing, and Storage Systems for the Manufacture of Blood Components Using the Buffy Coat Method",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommendations-development-blood-collection-processing-and-storage-systems-manufacture-blood,https://www.fda.gov/media/182751/download,2024-10-17,['Center for Biologics Evaluation and Research'],"['Blood','Blood Products']",Draft,FDA-2024-D-2732,No,
Considerations for Long-Term Clinical Neurodevelopmental Safety Studies in Neonatal Product Development:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-long-term-clinical-neurodevelopmental-safety-studies-neonatal-product-development,https://www.fda.gov/media/165239/download,2024-10-17,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health','Center for Drug Evaluation and Research','Office of the Commissioner']","['Clinical - Medical','Pediatric Product Development']",Final,FDA-2022-D-0112,No,
Core Patient-Reported Outcomes in Cancer Clinical Trials:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/core-patient-reported-outcomes-cancer-clinical-trials,https://www.fda.gov/media/149994/download,2024-10-17,"['Center for Biologics Evaluation and Research','Center for Drug Evaluation and Research']","['Clinical Trials','Clinical - Medical']",Final,FDA-2020-D-2303,No,2021-08-09
Requests for Reconsideration at the Division Level Under GDUFA,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/requests-reconsideration-division-level-under-gdufa,https://www.fda.gov/media/108398/download,2024-10-16,['Center for Drug Evaluation and Research'],"['User Fees','Generic Drugs']",Final,FDA-2017-D-5868,No,2024-03-11
CVM GFI #284 Using Relative Supersaturation to Support “Urinary Tract Health” Claims for Adult Maintenance Cat Food,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-284-using-relative-supersaturation-support-urinary-tract-health-claims-adult-maintenance-cat,https://www.fda.gov/media/173985/download,2024-10-15,['Center for Veterinary Medicine'],"['Animal Feed','Labeling']",Final,FDA-2023-D-4095,No,2024-02-28
Endosseous Dental Implants and Endosseous Dental Implant Abutments - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/endosseous-dental-implants-and-endosseous-dental-implant-abutments-performance-criteria-safety-and,https://www.fda.gov/media/182616/download,2024-10-15,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Dental']",Final,FDA-2024-D-4409,No,
Temporary Policies for Compounding Certain Parenteral Drug Products:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/temporary-policies-compounding-certain-parenteral-drug-products,https://www.fda.gov/media/182632/download,2024-10-11,['Center for Drug Evaluation and Research'],['Compounding'],Final,FDA-2024-D-4774,No,
"Electronic Systems, Electronic Records, and Electronic Signatures in Clinical Investigations:  Questions and Answers",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/electronic-systems-electronic-records-and-electronic-signatures-clinical-investigations-questions,https://www.fda.gov/media/166215/download,2024-10-01,"['Center for Drug Evaluation and Research','Office of the Commissioner']",['Administrative / Procedural'],Final,FDA-2017-D-1105,No,2023-05-15
CVM GFI #116 (VICH GL23 (R2)) Studies to Evaluate the Safety of Residues of Veterinary Drugs in Human Food: Genotoxicity Testing (Revision 2),https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-116-vich-gl23-r2-studies-evaluate-safety-residues-veterinary-drugs-human-food-genotoxicity,https://www.fda.gov/media/70134/download,2024-09-30,['Center for Veterinary Medicine'],"['Human Food Safety','VICH']",Draft,FDA-2000-D-0598,Yes,2024-11-29
Air Powered Dental Handpieces and Air Motors - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/air-powered-dental-handpieces-and-air-motors-performance-criteria-safety-and-performance-based,https://www.fda.gov/media/182279/download,2024-09-30,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Dental']",Final,FDA-2024-D-4168,No,
Dental Cements - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/dental-cements-performance-criteria-safety-and-performance-based-pathway,https://www.fda.gov/media/182280/download,2024-09-30,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Dental']",Final,FDA-2024-D-4171,No,
Dental Ceramics - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/dental-ceramics-performance-criteria-safety-and-performance-based-pathway,https://www.fda.gov/media/182281/download,2024-09-30,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Dental']",Final,FDA-2024-D-4169,No,
Dental Impression Materials - Performance Criteria for Safety and Performance Based Pathway:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/dental-impression-materials-performance-criteria-safety-and-performance-based-pathway,https://www.fda.gov/media/182282/download,2024-09-30,['Center for Devices and Radiological Health'],"['Premarket','510(k)','Dental']",Final,FDA-2024-D-4170,No,
Clarification of Radiation Control Regulations For Manufacturers of Diagnostic X-Ray Equipment:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clarification-radiation-control-regulations-manufacturers-diagnostic-x-ray-equipment,https://www.fda.gov/media/119827/download,2024-09-27,['Center for Devices and Radiological Health'],"['Export','Import','Labeling','Radiology']",Final,FDA-2018-D-4115,No,
Clinical Pharmacology Considerations for Human Radiolabeled Mass Balance Studies,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-pharmacology-considerations-human-radiolabeled-mass-balance-studies,https://www.fda.gov/media/158178/download,2024-09-26,['Center for Drug Evaluation and Research'],['Clinical - Pharmacology'],Final,FDA-2022-D-0113,No,2022-08-04
"Small Entity Compliance Guide: Standards for the Growing, Harvesting, Packing, and Holding of Produce for Human Consumption",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/small-entity-compliance-guide-standards-growing-harvesting-packing-and-holding-produce-human,https://www.fda.gov/media/107298/download,2024-09-25,['Human Foods Program'],['Produce'],Final,FDA-2011-N-0921,No,
An Acceptable Circular of Information for the Use of Human Blood and Blood Components:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/acceptable-circular-information-use-human-blood-and-blood-components,https://www.fda.gov/media/86898/download,2024-09-25,['Center for Biologics Evaluation and Research'],"['Blood','Blood Products']",Final,FDA-2002-D-0223,No,
"Basic Safety and Essential Performance of Medical Electrical Equipment, Medical Electrical Systems, and Laboratory Medical Equipment - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Program: Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/basic-safety-and-essential-performance-medical-electrical-equipment-medical-electrical-systems-and-0,https://www.fda.gov/media/182020/download,2024-09-23,"['Center for Devices and Radiological Health','Center for Biologics Evaluation and Research']",['Premarket'],Draft,FDA-2019-D-3805,Yes,2024-12-23
"Biocompatibility Testing of Medical Devices - Standards Specific Information for the Accreditation Scheme for Conformity Assessment (ASCA) Program : Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/biocompatibility-testing-medical-devices-standards-specific-information-accreditation-scheme-0,https://www.fda.gov/media/182026/download,2024-09-23,"['Center for Devices and Radiological Health','Center for Biologics Evaluation and Research']",['Premarket'],Draft,FDA-2019-D-3805,Yes,2024-12-23
"The Accreditation Scheme for Conformity Assessment (ASCA) Program: Draft Guidance for Industry, Accreditation Bodies, Testing Laboratories, and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/basic-safety-and-essential-performance-medical-electrical-equipment-medical-electrical-systems-and-0,https://www.fda.gov/media/182020/download,2024-09-23,"['Center for Devices and Radiological Health','Center for Biologics Evaluation and Research']",['Premarket'],Draft,FDA-2019-D-3805,Yes,2024-12-23
Chemical Analysis for Biocompatibility Assessment of Medical Devices: Draft Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/chemical-analysis-biocompatibility-assessment-medical-devices,https://www.fda.gov/media/181952/download,2024-09-20,"['Center for Devices and Radiological Health','Center for Biologics Evaluation and Research']","['Premarket','Chemistry, Manufacturing, and Controls (CMC)']",Draft,FDA-2024-D-4165,Yes,2024-12-19
Conducting Clinical Trials With Decentralized Elements,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/conducting-clinical-trials-decentralized-elements,https://www.fda.gov/media/167696/download,2024-09-18,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']",['Clinical - Medical'],Final,FDA-2022-D-2870,No,2023-08-01
Integrating Randomized Controlled Trials for Drug and Biological Products Into Routine Clinical Practice: Draft Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/integrating-randomized-controlled-trials-drug-and-biological-products-routine-clinical-practice,https://www.fda.gov/media/181871/download,2024-09-18,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Real World Data / Real World Evidence (RWD/RWE)'],Draft,FDA-2024-D-2052,Yes,2024-12-17
"CVM GFI #227 Chemistry, Manufacturing, and Controls (CMC) Technical Section Filing Strategies",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-227-chemistry-manufacturing-and-controls-cmc-technical-section-filing-strategies,https://www.fda.gov/media/89527/download,2024-09-17,['Center for Veterinary Medicine'],"['Premarket','Animal Drugs','Chemistry, Manufacturing, and Controls (CMC)','Investigational New Animal Drug (INAD)','New Animal Drug Application (NADA)']",Draft,FDA-2014-D-1492,No,2024-11-18
Data Standards Catalog,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/data-standards-catalog,,2024-09-16,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health','Center for Drug Evaluation and Research','Human Foods Program','Center for Veterinary Medicine']",,Final,,No,
Considerations for Generating Clinical Evidence from Oncology Multiregional Clinical Development Programs,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-generating-clinical-evidence-oncology-multiregional-clinical-development-programs,https://www.fda.gov/media/181824/download,2024-09-16,[],['Clinical - Medical'],Draft,FDA-2024-D-3163,No,2024-11-18
Enforcement Policy for Required Warnings for Cigarette Packages and Advertisements,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/enforcement-policy-required-warnings-cigarette-packages-and-advertisements,https://www.fda.gov/media/181776/download,2024-09-13,['Center for Tobacco Products'],,Final,FDA-2024-D-3742,No,
Providing Regulatory Submissions in Electronic Format — Certain Human Pharmaceutical Product Applications and Related Submissions Using the eCTD Specifications Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/providing-regulatory-submissions-electronic-format-certain-human-pharmaceutical-product-applications,https://www.fda.gov/media/135373/download,2024-09-13,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Electronic Submissions'],Final,FDA-2014-N-1006,No,
Submission of Plans for Cigarette Packages and Cigarette Advertisements (Revised),https://www.fda.gov/regulatory-information/search-fda-guidance-documents/submission-plans-cigarette-packages-and-cigarette-advertisements-revised,https://www.fda.gov/media/133839/download,2024-09-12,['Center for Tobacco Products'],,Final,FDA-2019-D-5364,No,
Required Warnings for Cigarette Packages and Advertisements: Small Entity Compliance Guide (Revised):  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/required-warnings-cigarette-packages-and-advertisements-small-entity-compliance-guide-revised,https://www.fda.gov/media/136185/download,2024-09-12,['Center for Tobacco Products'],,Final,FDA-2020-D-0988,No,
ANDA Submissions | Amendments to Abbreviated New Drug Applications Under GDUFA:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/anda-submissions-amendments-abbreviated-new-drug-applications-under-gdufa,https://www.fda.gov/media/89258/download,2024-09-11,['Center for Drug Evaluation and Research'],"['User Fees','Drug Competition Action Plan','Generic Drugs']",Final,FDA-2017-D-5670,No,
"Appeal Options Available to Mammography Facilities Concerning Adverse Accreditation Decisions, Suspension/Revocation of Certificates, or Patient and Referring Provider Notification Orders:  Guidance for Mammography Facilities and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/appeal-options-available-mammography-facilities-concerning-adverse-accreditation-decisions,https://www.fda.gov/media/140242/download,2024-09-10,['Center for Devices and Radiological Health'],"['Investigation & Enforcement','Administrative / Procedural','Radiological Health','Radiology']",Final,FDA-2020-D-1317,No,
Withdrawn Guidances (Biologics),https://www.fda.gov/regulatory-information/search-fda-guidance-documents/withdrawn-guidances-biologics,,2024-09-06,['Center for Biologics Evaluation and Research'],,Final,,No,
"Incorporating Voluntary Patient Preference Information over the Total Product Life Cycle: Draft Guidance for Industry, Food and Drug Administration Staff, and Other Interested Parties",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/incorporating-voluntary-patient-preference-information-over-total-product-life-cycle,https://www.fda.gov/media/181509/download,2024-09-06,"['Center for Devices and Radiological Health','Center for Biologics Evaluation and Research']",,Draft,FDA-2015-D-1580,Yes,2024-12-05
Control of Nitrosamine Impurities in Human Drugs:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/control-nitrosamine-impurities-human-drugs,https://www.fda.gov/media/141720/download,2024-09-05,['Center for Drug Evaluation and Research'],"['Current Good Manufacturing Practice (CGMP)','Pharmaceutical Quality']",Final,FDA-2020-D-1530,No,
Bioresearch Monitoring Technical Conformance Guide,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/bioresearch-monitoring-technical-conformance-guide,https://www.fda.gov/media/85061/download,2024-09-03,['Center for Drug Evaluation and Research'],['Electronic Submissions'],Final,FDA-2018-D-1216,No,
Voluntary Malfunction Summary Reporting (VMSR) Program for Manufacturers:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/voluntary-malfunction-summary-reporting-vmsr-program-manufacturers,https://www.fda.gov/media/163692/download,2024-08-29,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']",,Final,FDA-2022-D-2873,No,
CVM GFI #63 (VICH GL1) Validation of Analytical Procedures: Definition and Terminology,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-63-vich-gl1-validation-analytical-procedures-definition-and-terminology,https://www.fda.gov/media/70168/download,2024-08-28,['Center for Veterinary Medicine'],"['Chemistry, Manufacturing, and Controls (CMC)','VICH']",Final,FDA-2021-D-0614,No,
CVM GFI #64 (VICH  GL2) Validation of Analytical Procedures: Methodology,,,2024-08-28,[],"['Chemistry, Manufacturing, and Controls (CMC)','VICH']",Final,FDA-2021-D-0616,No,
Mammography Quality Standards Act and Regulation Amendments: Small Entity Compliance Guide:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/mammography-quality-standards-act-and-regulation-amendments-small-entity-compliance-guide,https://www.fda.gov/media/181152/download,2024-08-26,['Center for Devices and Radiological Health'],,Final,FDA-2013-N-0134,No,
Electronic Submission Template for Medical Device De Novo Requests:  Guidance for Industry and Food and Drug Administration Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/electronic-submission-template-medical-device-de-novo-requests,https://www.fda.gov/media/172450/download,2024-08-23,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']","['Premarket','Electronic Submissions']",Final,FDA-2023-D-3788,No,
"FDA and Industry Procedures for Section 513(g) Requests for Information under the Federal Food, Drug, and Cosmetic Act:  Guidance for Industry and Food and Drug Administration Staff",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/fda-and-industry-procedures-section-513g-requests-information-under-federal-food-drug-and-cosmetic,https://www.fda.gov/media/78456/download,2024-08-23,"['Center for Biologics Evaluation and Research','Center for Devices and Radiological Health']","['Premarket','Administrative / Procedural','Labeling']",Final,FDA-2010-D-0153,No,
Predetermined Change Control Plans for Medical Devices: Draft Guidance for Industry and FDA Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/predetermined-change-control-plans-medical-devices,https://www.fda.gov/media/180978/download,2024-08-22,"['Center for Devices and Radiological Health','Center for Biologics Evaluation and Research']",['Premarket'],Draft,FDA-2024-D-2338,Yes,2024-11-20
Product-Specific Guidance Meetings Between FDA and ANDA Applicants Under GDUFA:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/product-specific-guidance-meetings-between-fda-and-anda-applicants-under-gdufa,https://www.fda.gov/media/165468/download,2024-08-20,['Center for Drug Evaluation and Research'],"['Drug Competition Action Plan','Generic Drugs']",Final,FDA-2023-D-0044,No,
Acceptable Media for Electronic Product User Manuals:  Guidance for Industry and FDA Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/acceptable-media-electronic-product-user-manuals,https://www.fda.gov/media/78332/download,2024-08-19,['Center for Devices and Radiological Health'],,Final,FDA-2020-D-0957,No,
Draft Guidance for Industry: Voluntary Sodium Reduction Goals (Edition 2),https://www.fda.gov/regulatory-information/search-fda-guidance-documents/draft-guidance-industry-voluntary-sodium-reduction-goals-edition-2,https://www.fda.gov/media/180784/download,2024-08-15,['Human Foods Program'],,Draft,FDA-2014-D-0055,Yes,2025-01-13
CVM GFI #294 - Animal Food Ingredient Consultation (AFIC),https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-294-animal-food-ingredient-consultation-afic,https://www.fda.gov/media/180442/download,2024-08-09,['Center for Veterinary Medicine'],"['Premarket','Animal Food Additives','Labeling','Safety - Issues, Errors, and Problems']",Draft,FDA-2024-D-2978,No,2024-09-09
Bacillus Calmette-Guérin-Unresponsive Nonmuscle Invasive Bladder Cancer: Developing Drugs and Biological Products for Treatment : Draft Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/bacillus-calmette-guerin-unresponsive-nonmuscle-invasive-bladder-cancer-developing-drugs-and,https://www.fda.gov/media/101468/download,2024-08-08,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Clinical - Medical'],Draft,FDA-2018-D-0342,No,
Optimizing the Dosage of Human Prescription Drugs and Biological Products for the Treatment of Oncologic Diseases:  Guidance for Industry; Availability,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/optimizing-dosage-human-prescription-drugs-and-biological-products-treatment-oncologic-diseases,https://www.fda.gov/media/164555/download,2024-08-08,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",,Final,FDA-2022-D-2827,No,
M12 Drug Interaction Studies,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m12-drug-interaction-studies,https://www.fda.gov/media/161199/download,2024-08-02,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['ICH-Multidisciplinary'],Final,FDA-2022-D-1527,No,
M12 Drug Interaction Studies: Questions and Answers,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m12-drug-interaction-studies-questions-and-answers,https://www.fda.gov/media/180488/download,2024-08-02,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['ICH-Multidisciplinary'],Final,FDA-2022-D-1527,No,
FDA Regional Implementation Guide for E2B(R3) Electronic Transmission of Individual Case Safety Reports for Drug and Biological Products,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/fda-regional-implementation-guide-e2br3-electronic-transmission-individual-case-safety-reports-drug,https://www.fda.gov/media/180748/download,2024-08-01,['Center for Drug Evaluation and Research'],['ICH-Safety'],Final,FDA-2016-D-1280,No,
"CVM GFI #100 (VICH GL18 (R2)) Impurities: Residual Solvents in New Veterinary Medicinal Products, Active Substances and Excipients (Revision 2)",https://www.fda.gov/regulatory-information/search-fda-guidance-documents/cvm-gfi-100-vich-gl18-r2-impurities-residual-solvents-new-veterinary-medicinal-products-active,https://www.fda.gov/media/70410/download,2024-07-25,['Center for Veterinary Medicine'],"['Chemistry, Manufacturing, and Controls (CMC)','VICH']",Final,FDA-1999-D-2955,No,2022-09-16
Providing Over-the-Counter Monograph Submissions in Electronic Format,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/providing-over-counter-monograph-submissions-electronic-format,https://www.fda.gov/media/161822/download,2024-07-25,['Center for Drug Evaluation and Research'],['Electronic Submissions'],Final,FDA-2022-D-2059,No,
Real-World Data: Assessing Electronic Health Records and Medical Claims Data To Support Regulatory Decision-Making for Drug and Biological Products:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/real-world-data-assessing-electronic-health-records-and-medical-claims-data-support-regulatory,https://www.fda.gov/media/152503/download,2024-07-25,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Real World Data / Real World Evidence (RWD/RWE)'],Final,FDA-2020-D-2307,No,
Container Closure System and Component Changes: Glass Vials and Stoppers,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/container-closure-system-and-component-changes-glass-vials-and-stoppers,https://www.fda.gov/media/167925/download,2024-07-24,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",,Final,FDA-2017-D-6821,No,
Postapproval Manufacturing Changes to Biosimilar and Interchangeable Biosimilar Products Questions and Answers,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/postapproval-manufacturing-changes-biosimilar-and-interchangeable-biosimilar-products-questions-and,https://www.fda.gov/media/180206/download,2024-07-23,"['Center for Drug Evaluation and Research','Center for Biologics Evaluation and Research']",['Current Good Manufacturing Practice (CGMP)'],Draft,FDA-2024-D-2581,No,2024-09-23
Pediatric Inflammatory Bowel Disease:  Developing Drugs for Treatment,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pediatric-inflammatory-bowel-disease-developing-drugs-treatment,https://www.fda.gov/media/180126/download,2024-07-19,['Center for Drug Evaluation and Research'],"['Clinical - Medical','Pediatric Product Development']",Draft,FDA-2024-D-2682,No,2024-09-17
Recommendations for Investigational and Licensed COVID-19 Convalescent Plasma:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/recommendations-investigational-and-licensed-covid-19-convalescent-plasma,https://www.fda.gov/media/180209/download,2024-07-19,['Center for Biologics Evaluation and Research'],"['Blood','Infectious Disease Treatment','Coronavirus','Blood Products']",Final,FDA-2024-D-2442,No,
Blood Pressure and Pulse Donor Eligibility Requirements – Compliance Policy:  Guidance for Industry,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/blood-pressure-and-pulse-donor-eligibility-requirements-compliance-policy,https://www.fda.gov/media/158609/download,2024-07-17,['Center for Biologics Evaluation and Research'],"['Blood','Blood Products']",Final,FDA-2022-D-0362,No,
Application User Fees for Combination Products:  Guidance for Industry and FDA Staff,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/application-user-fees-combination-products,https://www.fda.gov/media/76413/download,2024-07-16,['Office of the Commissioner'],"['User Fees','Combination Products','Pediatric Product Development']",Final,FDA-2004-D-0371,No,
Drugs for the Treatment of Partial Onset Seizures: Extrapolation of Efficacy from Adults to Pediatric Patients  1 Month of Age and Older,,,2024-07-15,[],"['Clinical - Pharmacology','Pediatric Product Development']",Final,FDA-2018-D-0178,No,
